locality_code,locality_name,district_name,era5_cyclone_season_mean_of_annual_max_gust_ms,era5_cyclone_season_mean_of_annual_p95_gust_ms,era5_cyclone_season_mean_of_annual_max_wind10m_ms,era5_cyclone_season_mean_wind10m_ms,era5_cyclone_season_mean_of_annual_min_mslp_pa,era5_cyclone_season_mean_mslp_pa
BD10040009,Amtali,Barguna,22.05896731785365,10.951796586172922,11.606562929666328,3.0012412687086445,99049.14642857143,100604.53214285713
BD10040019,Bamna,Barguna,21.616884231567383,10.807839393615723,11.287497821058555,2.8980850706358448,99013.796875,100598.2265625
BD10040028,Barguna Sadar,Barguna,21.831033174381698,10.913848189420479,11.637310607617195,3.0138064082823224,99014.47311046511,100598.6219113372
BD10040047,Betagi,Barguna,21.616884231567383,10.807839393615723,11.287497821058555,2.8980850706358448,99013.796875,100598.2265625
BD10040085,Patharghata,Barguna,22.29397280075971,11.14301426270429,12.393523543266022,3.2639687117239724,99015.93497242648,100599.47656249999
BD10040090,Taltali,Barguna,24.735859963201708,12.351806209933372,16.382351793033596,4.5835103592611555,99023.6459173387,100603.98462701614
BD10060002,Agailjhara,Barishal,21.251420974731445,10.077704429626465,10.785592263709214,2.6055492047861906,99009.90625,100589.2734375
BD10060003,Babuganj,Barishal,21.237260818481445,10.167626261711122,10.755561652577365,2.8391697265908302,99065.09912109376,100608.9609375
BD10060007,Bakerganj,Barishal,21.29588971819196,10.164130697444994,10.753166776281788,2.855291582930459,99070.37181122448,100610.45711096938
BD10060010,Banaripara,Barishal,20.504974365234375,10.211286544799805,10.78547412709273,2.637804579760569,98999.2421875,100590.2734375
BD10060051,Barishal Sadar (Kotwali),Barishal,21.40625,10.157550811767578,10.74865877384305,2.8856386066285826,99080.296875,100613.2734375
BD10060032,Gaurnadi,Barishal,21.405519184313324,10.09738174237703,10.853981610293658,2.682556551532221,99024.1990131579,100592.85279605263
BD10060036,Hijla,Barishal,21.775459289550785,10.153202874319893,11.003069922603384,2.8963859058793178,99066.51562500001,100604.36049107142
BD10060062,Mehendiganj,Barishal,21.40625,10.157550811767578,10.74865877384305,2.8856386066285826,99080.296875,100613.2734375
BD10060069,Muladi,Barishal,21.72531975640191,10.153793334960938,10.968520260426056,2.8949263961045264,99068.38715277778,100605.5708912037
BD10060094,Ujirpur,Barishal,20.504974365234375,10.211286544799805,10.78547412709273,2.637804579760569,98999.2421875,100590.2734375
BD10065000,Barishal City Corporation,Barishal,21.40625,10.157550811767578,10.74865877384305,2.8856386066285826,99080.296875,100613.2734375
BD10090018,Bhola Sadar,Bhola,21.40625,10.157550811767578,10.74865877384305,2.8856386066285826,99080.296875,100613.2734375
BD10090021,Borhanuddin,Bhola,22.15228503459209,10.947920670380466,11.69613783087401,3.2140130075882576,99117.93918918919,100621.4396114865
BD10090025,Charfasson,Bhola,23.95922238590153,12.736149453024826,15.53276793078227,4.613065510717684,99146.61891698472,100630.88597328243
BD10090029,Daulatkhan,Bhola,21.958392235540575,10.834106599130937,11.07636634653117,3.000373260585994,99129.76965725806,100623.65448588709
BD10090054,Lalmohan,Bhola,23.616256193681192,12.430041139776055,14.786552105782219,4.365669402304414,99148.23437500001,100630.86860795453
BD10090065,Monpura,Bhola,24.07862663269043,13.135540962219238,16.295142299194772,5.045587177211817,99170.671875,100639.8203125
BD10090091,Tazumuddin,Bhola,23.332726428383275,12.346431079663729,14.184909562832424,4.2149556299896185,99166.6060855263,100635.77425986843
BD10420040,Jhalokathi Sadar,Jhalokati,20.504974365234375,10.211286544799805,10.78547412709273,2.637804579760569,98999.2421875,100590.2734375
BD10420043,Kanthalia,Jhalokati,21.45009775161743,10.718356466293335,11.212194266963682,2.8590429970045537,99011.613671875,100597.03359374999
BD10420073,Nalchhity,Jhalokati,20.818461542544156,10.192595855049463,10.772668786831973,2.7240077195407477,99027.43512228261,100598.2734375
BD10420084,Rajapur,Jhalokati,20.504974365234375,10.211286544799805,10.78547412709273,2.637804579760569,98999.2421875,100590.2734375
BD10780038,Bauphal,Patuakhali,22.312687481150906,10.829110930947696,11.653156740204182,3.0733986998913276,99098.84926470589,100614.52205882352
BD10780052,Dashmina,Patuakhali,22.80710792541504,11.195416450500488,12.146519267310254,3.175813296216461,99108.96875,100615.203125
BD10780055,Dumki,Patuakhali,22.495806164211697,10.964779641893175,11.83588360209532,3.111330031863599,99102.59722222222,100614.77430555556
BD10780057,Galachipa,Patuakhali,22.80710792541504,11.195416450500488,12.146519267310254,3.175813296216461,99108.96875,100615.203125
BD10780066,Kalapara,Patuakhali,25.523602647601432,12.775565471289294,17.589031263037878,5.001362380795037,99046.5353773585,100608.93926886794
BD10780076,Mirzaganj,Patuakhali,21.616884231567383,10.807839393615723,11.287497821058555,2.8980850706358448,99013.796875,100598.2265625
