adm3_pcode,ibtracs_distinct_storms_100km,ibtracs_max_wmo_wind_100km,ibtracs_min_wmo_pres_100km,ibtracs_min_dist_any_km
BD10040009,15,115.0,944.0,16.587041421222214
BD10040019,12,115.0,944.0,5.363959907941026
BD10040028,15,115.0,944.0,14.184123098566756
BD10040047,15,115.0,944.0,7.381411600143197
BD10040085,16,115.0,944.0,3.614920335530996
BD10040090,14,115.0,944.0,20.96801452785098
BD10060002,15,40.0,988.0,12.9810170909059
BD10060003,14,45.0,988.0,25.080868912656605
BD10060007,14,45.0,983.0,2.3288159931995196
BD10060010,14,40.0,988.0,16.17983182978511
BD10060051,14,45.0,988.0,19.513568304575333
BD10060032,15,45.0,988.0,7.80972415303121
BD10060036,13,45.0,988.0,6.727059072942963
BD10060062,14,45.0,988.0,20.555514814225823
BD10060069,14,45.0,988.0,13.638734419796615
BD10060094,14,40.0,988.0,19.97135057524568
BD10065000,13,45.0,988.0,17.948487688856535
BD10090018,15,45.0,983.0,19.33939479073714
BD10090021,13,45.0,983.0,17.26337309343555
BD10090025,14,45.0,983.0,9.235574985623563
BD10090029,14,45.0,983.0,9.013438824202629
BD10090054,13,45.0,983.0,24.351213674863477
BD10090065,12,45.0,983.0,17.720248014088344
BD10090091,13,45.0,983.0,18.821077639436815
BD10420040,15,45.0,984.0,23.831248195926314
BD10420043,13,115.0,944.0,13.279763622269144
BD10420073,14,45.0,984.0,12.124857247920895
BD10420084,14,45.0,984.0,21.21181969843473
BD10780038,14,45.0,983.0,3.44286404018938
BD10780052,14,45.0,983.0,6.914882965726569
BD10780055,14,45.0,983.0,8.333545390468995
BD10780057,14,45.0,983.0,16.600656851427242
BD10780066,13,115.0,944.0,11.010254489659848
BD10780076,14,115.0,944.0,11.60973425995935
BD10780095,14,45.0,983.0,11.478664172499744
BD10780097,13,115.0,944.0,4.715510520843128
BD10790014,14,115.0,944.0,18.790811952029063
BD10790090,15,115.0,944.0,23.09821044744866
BD10790047,14,45.0,984.0,26.72036795578566
BD10790058,14,115.0,944.0,15.622864605154874
BD10790076,14,40.0,988.0,7.092131008865991
BD10790087,14,45.0,984.0,16.992858786690654
BD10790080,14,45.0,984.0,24.9709969849145
BD20030004,8,60.0,978.0,23.680779029376577
BD20030014,9,60.0,978.0,0.7678240054887226
BD20030051,8,60.0,978.0,1.653343925583316
BD20030073,9,60.0,978.0,12.253842965326145
BD20030089,9,60.0,978.0,10.44660963961334
BD20030091,7,60.0,978.0,15.64918325087586
BD20030095,6,60.0,978.0,15.866063511440231
BD20120002,12,40.0,990.0,21.02471362776968
BD20120033,8,30.0,990.0,2.7456567856222165
BD20120004,11,30.0,988.0,4.625403644655119
BD20120007,10,40.0,988.0,23.116399627085162
BD20120013,8,30.0,990.0,13.029550462788974
BD20120063,13,40.0,988.0,13.380206856695382
BD20120085,8,30.0,990.0,10.935393204463374
BD20120090,8,30.0,990.0,6.880577330639989
BD20120094,7,30.0,990.0,11.497167384186353
BD20130022,13,45.0,988.0,30.061769628665775
BD20130045,13,45.0,983.0,31.22181276563982
BD20130047,14,45.0,988.0,14.707373831479517
BD20130049,13,45.0,983.0,24.277672700880927
BD20130058,12,35.0,988.0,13.523676729697575
BD20130076,12,35.0,988.0,17.403975373741154
BD20130079,15,35.0,988.0,11.661679340069748
BD20130095,13,45.0,983.0,24.851887603164847
BD20150004,11,60.0,978.0,34.06814856001463
BD20150008,10,60.0,978.0,13.61886012844991
BD20150012,11,60.0,978.0,44.89991759042345
BD20150018,10,60.0,978.0,24.53957402224637
BD20150033,10,60.0,978.0,29.285279556586044
BD20150037,11,60.0,978.0,32.095766328036916
BD20150039,11,60.0,978.0,35.62731210889679
BD20150047,9,60.0,978.0,15.638027458519694
BD20150053,9,55.0,982.0,19.03425299397741
BD20150061,11,60.0,978.0,36.48171521078678
BD20150070,10,60.0,978.0,48.21482400055047
BD20150074,10,60.0,978.0,44.0376826554754
BD20150078,12,60.0,978.0,1.4256122161931761
BD20150082,10,60.0,978.0,19.154064997932014
BD20150086,11,60.0,978.0,18.075056179655597
BD20151600,11,60.0,978.0,32.18205130779131
BD20190067,12,40.0,988.0,31.42147318312968
BD20190009,13,45.0,983.0,23.845260815896275
BD20190015,13,40.0,988.0,16.509729792982075
BD20190018,12,40.0,988.0,28.36261324638923
BD20190027,12,35.0,988.0,10.63642408753502
BD20190031,13,55.0,982.0,8.498605825557783
BD20190036,13,35.0,988.0,7.461499626821533
BD20190040,13,40.0,988.0,19.350726429607555
BD20190054,13,35.0,988.0,13.928490053637873
BD20190072,14,55.0,982.0,10.3304532053868
BD20190073,14,55.0,982.0,11.623619128038172
BD20190074,14,55.0,982.0,15.247325217529921
BD20190075,13,35.0,988.0,14.028288662123048
BD20190081,12,30.0,988.0,11.443781790857356
BD20190087,13,55.0,982.0,6.708448530103125
BD20190033,14,55.0,982.0,20.943131096112037
BD20190094,13,35.0,988.0,13.763346215802116
BD20195000,14,55.0,982.0,26.047406195839887
BD20220016,9,60.0,978.0,16.46424676035558
BD20220024,9,60.0,978.0,17.255851443578273
BD20220032,9,60.0,978.0,6.478264075913705
BD20220045,11,60.0,978.0,9.44321784109158
BD20220049,11,60.0,978.0,2.1743495741621173
BD20220056,11,60.0,978.0,9.621486023721646
BD20220066,9,60.0,978.0,18.04934192270855
