locality_code,shelters_10km,shelters_25km,shelter_capacity_10km,shelter_capacity_25km,nearest_shelter_km,people_per_shelter_seat_25km
BD10040009,0,9,0,5490,18.18,27.8
BD10040019,1,12,344,6144,8.59,12.58
BD10040028,3,21,1880,13127,3.62,17.99
BD10040047,0,3,0,1880,19.96,52.23
BD10040085,9,26,5585,14689,7.51,9.73
BD10040090,8,21,5237,13278,2.26,5.93
BD10060002,0,0,0,0,38.11,129695.04
BD10060003,0,1,0,514,15.24,226.39
BD10060007,0,1,0,514,16.09,529.85
BD10060010,0,1,0,677,21.17,190.58
BD10060051,1,4,514,1569,4.39,101.4
BD10060032,0,0,0,0,32.9,154997.19
BD10060036,0,3,0,1055,20.09,124.36
BD10060062,2,4,998,1569,6.55,147.54
BD10060069,0,0,0,0,27.8,146673.04
BD10060094,0,0,0,0,28.12,196968.27
BD10065000,1,2,514,1046,2.93,294.11
BD10090018,2,6,523,2053,8.5,201.91
BD10090021,2,3,298,998,7.37,191.06
BD10090025,0,1,0,664,20.37,591.14
BD10090029,2,6,794,2053,7.91,70.97
BD10090054,0,0,0,0,25.57,250085.91
BD10090065,0,0,0,0,40.09,71028.34
BD10090091,0,3,0,998,17.34,164.03
BD10420040,0,2,0,1191,14.64,159.91
BD10420043,0,2,0,1097,24.02,100.54
BD10420073,0,2,0,1191,14.86,127.76
BD10420084,0,1,0,677,11.7,190.6
BD10780038,0,3,0,1194,21.68,226.53
BD10780052,6,7,4173,4837,2.8,27.26
BD10780055,0,0,0,0,27.81,67757.86
BD10780057,5,12,3277,8392,6.28,25.13
BD10780066,0,26,0,16690,11.29,12.62
BD10780076,0,2,0,896,24.09,129.2
BD10780095,0,5,0,3740,22.19,81.59
BD10780097,9,11,6801,7391,1.96,13.92
BD10790014,0,10,0,5576,18.88,22.49
BD10790090,0,10,0,5576,16.29,11.35
BD10790047,1,1,677,677,2.86,81.41
BD10790058,0,19,0,9775,10.01,22.69
BD10790076,0,1,0,677,17.66,238.25
BD10790087,0,1,0,677,10.3,267.36
BD10790080,1,1,677,677,8.64,209.33
BD20030004,0,0,0,0,35.34,75654.28
BD20030014,0,0,0,0,32.71,107944.4
BD20030051,0,0,0,0,37.12,112360.31
BD20030073,0,1,0,467,17.42,165.88
BD20030089,0,0,0,0,40.8,21271.45
BD20030091,0,0,0,0,55.63,30223.15
BD20030095,0,0,0,0,49.7,29649.6
BD20120002,0,1,0,349,17.77,428.98
BD20120033,0,1,0,349,22.43,514.72
BD20120004,0,1,0,349,21.76,853.8
BD20120007,0,0,0,0,28.88,255321.39
BD20120013,0,1,0,349,17.9,1388.47
BD20120063,0,1,0,349,13.12,857.74
BD20120085,1,1,349,349,6.48,1446.34
BD20120090,0,0,0,0,26.19,310083.27
BD20120094,0,0,0,0,33.27,343972.01
BD20130022,0,0,0,0,42.28,433667.15
BD20130045,0,0,0,0,30.3,364514.6
BD20130047,0,0,0,0,31.88,101373.64
BD20130049,0,1,0,782,24.97,423.05
BD20130058,0,0,0,0,28.42,348032.93
BD20130076,0,0,0,0,37.96,182552.4
BD20130079,0,0,0,0,38.63,262998.06
BD20130095,0,1,0,782,11.47,225.27
BD20150004,70,91,34709,45479,0.48,4.96
BD20150008,13,79,7617,40318,5.9,8.24
BD20150012,0,55,0,27352,10.44,3.89
BD20150018,0,71,0,35784,11.2,6.56
BD20150033,0,2,0,1935,15.08,258.9
BD20150037,1,10,474,5363,9.88,80.56
BD20150039,18,84,8188,41632,5.38,2.68
BD20150047,0,5,0,2729,23.67,100.13
BD20150053,0,2,0,1935,15.85,181.93
BD20150061,7,78,5311,37862,7.46,5.33
BD20150070,0,4,0,1345,15.53,246.3
BD20150074,0,10,0,4048,17.74,80.85
BD20150078,0,1,0,957,23.98,296.89
BD20150082,0,77,0,40318,15.05,8.62
BD20150086,1,3,957,2409,9.69,196.84
BD20151600,8,79,3153,38336,4.05,75.62
BD20190067,0,0,0,0,36.91,363543.89
BD20190009,0,1,0,782,21.91,506.48
BD20190015,0,1,0,349,20.46,559.75
BD20190018,0,0,0,0,32.87,295307.22
BD20190027,0,0,0,0,33.8,352791.73
BD20190031,0,1,0,782,23.69,543.79
BD20190036,0,0,0,0,38.66,330393.46
BD20190040,0,0,0,0,26.39,413212.53
BD20190054,0,0,0,0,25.88,192093.93
BD20190072,1,1,782,782,9.25,245.81
BD20190073,0,1,0,782,18.46,145.84
BD20190074,1,1,782,782,2.62,291.6
BD20190075,0,1,0,728,23.97,151.1
BD20190081,0,1,0,349,17.16,1446.1
BD20190087,0,1,0,782,15.64,453.28
BD20190033,0,0,0,0,29.32,244905.7
BD20190094,0,0,0,0,33.76,196427.65
BD20195000,0,0,0,0,32.98,342836.65
BD20220016,0,0,0,0,26.88,477008.09
BD20220024,1,2,467,1342,7.46,269.72
BD20220032,1,2,467,1342,6.44,85.68
BD20220045,0,5,0,3292,23.78,38.89
BD20220049,0,2,0,1342,12.78,261.19
BD20220056,0,0,0,0,26.57,183626.65
BD20220066,1,2,467,793,8.17,362.81
BD20220090,0,0,0,0,26.44,281683.58
BD20220094,4,4,1129,1129,3.04,191.87
BD20300014,0,0,0,0,39.65,177589.51
BD20300025,0,0,0,0,32.46,244380.27
BD20300029,0,0,0,0,40.61,487915.26
BD20300041,0,0,0,0,39.53,110977.51
BD20300051,0,0,0,0,39.2,85376.63
BD20300094,0,0,0,0,30.34,282165.21
BD20460043,0,0,0,0,26.09,101273.91
BD20460047,0,0,0,0,43.29,35982.55
BD20460049,0,0,0,0,45.55,102269.57
BD20460061,0,0,0,0,28.88,23339.15
BD20460065,0,0,0,0,43.84,62415.5
BD20460067,0,0,0,0,28.02,69085.82
BD20460070,0,0,0,0,56.55,155324.72
BD20460077,0,0,0,0,41.31,41277.01
BD20460080,0,0,0,0,34.04,38567.82
BD20510033,0,3,0,851,22.97,262.47
BD20510043,0,0,0,0,25.98,672334.81
BD20510058,0,0,0,0,26.63,277736.55
BD20510065,0,1,0,782,20.2,367.0
BD20510073,0,3,0,998,18.66,269.09
BD20750007,0,0,0,0,25.8,542707.82
BD20750010,0,1,0,782,15.31,315.04
BD20750021,0,0,0,0,34.45,291781.68
BD20750036,0,0,0,0,42.95,430809.76
BD20750047,0,0,0,0,41.49,165742.05
BD20750087,0,0,0,0,39.17,563204.73
BD20750080,0,1,0,782,24.66,377.21
BD20750083,0,1,0,782,15.06,404.27
BD20750085,0,0,0,0,42.05,215263.81
BD20840007,0,1,0,116,10.66,920.42
BD20840021,0,0,0,0,34.52,46857.44
BD20840029,0,0,0,0,52.34,19456.17
BD20840047,0,0,0,0,33.86,29171.63
BD20840036,0,2,0,620,16.55,82.22
BD20840025,0,2,0,620,12.01,111.4
BD20840058,0,0,0,0,42.69,60092.73
BD20840075,0,0,0,0,27.02,45163.49
BD20840078,0,0,0,0,27.55,19876.8
BD20840087,2,2,620,620,9.4,236.94
BD30260014,0,3,0,1455,15.32,328.98
BD30260018,0,0,0,0,29.57,298307.57
BD30260038,2,11,1159,5648,3.58,157.03
BD30260062,0,4,0,2177,22.36,148.98
BD30260072,2,10,1018,4920,1.15,253.61
BD30262500,7,11,3363,5648,3.09,1030.17
BD30262000,6,11,3278,5648,4.47,834.48
BD30290003,0,0,0,0,49.67,106610.75
BD30290010,0,0,0,0,50.98,248835.6
BD30290018,0,0,0,0,59.54,183388.44
BD30290021,0,0,0,0,29.47,64888.37
BD30290047,0,0,0,0,34.52,459049.24
BD30290056,0,0,0,0,50.71,202152.67
BD30290062,0,0,0,0,47.96,170692.82
BD30290084,0,0,0,0,39.87,162799.82
BD30290090,0,0,0,0,52.71,156843.77
BD30330030,0,1,0,516,23.36,1002.27
BD30330032,0,0,0,0,25.56,682181.71
BD30330034,0,3,0,1187,18.51,321.83
BD30330036,0,0,0,0,36.38,471759.71
BD30330086,0,0,0,0,36.93,676008.75
BD30333300,0,9,0,4381,12.05,554.2
BD30350032,0,0,0,0,37.61,298170.4
BD30350043,0,0,0,0,44.35,183436.24
BD30350051,0,0,0,0,42.3,201227.27
BD30350058,0,0,0,0,58.45,231681.81
BD30350091,0,0,0,0,32.33,70536.35
BD30480002,0,1,0,760,10.21,192.0
BD30480006,0,0,0,0,28.5,243651.81
BD30480011,0,0,0,0,31.99,292255.98
BD30480027,0,0,0,0,48.45,179614.27
BD30480033,0,2,0,1511,16.27,106.07
BD30480042,0,0,0,0,25.11,274460.25
BD30480045,0,0,0,0,34.96,296522.67
BD30480049,0,0,0,0,36.19,391336.87
BD30480054,0,0,0,0,38.77,181503.53
BD30480059,1,1,760,760,3.67,159.75
BD30480076,0,1,0,760,20.03,187.03
BD30480079,0,0,0,0,46.4,244373.11
BD30480092,0,0,0,0,29.52,148710.15
BD30540018,0,0,0,0,48.77,67483.37
BD30540040,0,0,0,0,42.01,163162.45
BD30540054,0,0,0,0,58.23,279661.14
BD30540080,0,0,0,0,62.66,208686.6
BD30540087,0,0,0,0,41.71,321498.83
BD30560010,0,1,0,437,23.68,377.85
BD30560022,0,1,0,437,10.35,305.35
BD30560028,0,1,0,437,15.96,278.28
BD30560046,1,2,437,1007,3.35,301.24
BD30560070,0,1,0,437,11.59,345.89
BD30560078,0,1,0,437,19.64,349.68
BD30560082,0,7,0,3450,14.97,76.57
BD30590024,0,1,0,728,24.86,200.59
BD30590044,0,0,0,0,25.82,147360.05
BD30590056,0,0,0,0,26.82,381600.66
BD30590074,0,8,0,4114,11.48,67.0
BD30590084,0,1,0,539,20.63,449.36
BD30590094,0,0,0,0,26.07,171908.82
BD30670002,0,2,0,1300,19.63,315.74
BD30670006,0,6,0,3278,11.42,62.78
BD30670058,0,8,0,4114,12.56,189.92
BD30670068,0,9,0,4630,11.39,112.76
BD30670004,0,6,0,3278,12.8,148.18
BD30674400,1,8,728,4114,8.58,203.56
BD30680007,0,0,0,0,36.04,196880.53
BD30680052,0,0,0,0,46.08,271907.16
BD30680060,0,0,0,0,28.07,725117.52
BD30680063,0,0,0,0,26.81,219641.43
BD30680064,0,1,0,349,21.92,1500.72
BD30680076,0,0,0,0,36.16,284811.44
BD30820007,0,0,0,0,47.81,184525.98
BD30820029,0,0,0,0,26.58,108003.77
BD30820047,0,0,0,0,37.2,117866.59
BD30820073,0,0,0,0,27.74,236453.28
BD30820076,0,0,0,0,38.47,339943.31
BD30860014,0,0,0,0,51.83,232225.17
BD30860025,0,0,0,0,42.78,106342.67
BD30860036,0,0,0,0,35.5,125305.81
BD30860065,0,0,0,0,44.03,208347.73
BD30860069,0,0,0,0,53.78,184975.46
BD30860094,0,0,0,0,37.51,157427.24
BD30930009,0,0,0,0,42.38,145864.4
BD30930019,0,0,0,0,71.83,170769.45
BD30930023,0,0,0,0,33.25,195196.45
BD30930025,0,0,0,0,84.23,182006.33
BD30930028,0,0,0,0,69.06,384077.23
BD30930038,0,0,0,0,80.51,204113.95
BD30930047,0,0,0,0,56.49,383384.78
BD30930057,0,0,0,0,88.7,263107.37
BD30930066,0,0,0,0,31.18,384936.34
BD30930076,0,0,0,0,25.4,264347.87
BD30930085,0,0,0,0,49.25,261819.23
BD30930095,0,0,0,0,47.15,476098.24
BD40010008,2,3,1309,2151,2.33,112.51
BD40010014,0,2,0,1309,19.91,106.94
BD40010034,0,3,0,2273,10.7,48.76
BD40010038,0,3,0,1986,13.96,43.21
BD40010056,0,3,0,2273,22.98,42.46
BD40010058,0,7,0,2996,19.48,34.88
BD40010060,0,14,0,8484,10.93,28.62
BD40010073,0,3,0,2151,13.01,48.19
BD40010077,0,20,0,10640,17.29,9.87
BD40180007,0,0,0,0,34.12,346628.2
BD40180023,0,0,0,0,26.05,311392.67
BD40180031,0,0,0,0,40.06,250571.49
BD40180055,0,0,0,0,27.62,163987.84
BD40410004,0,1,0,964,21.82,261.43
BD40410009,0,0,0,0,35.29,205148.99
BD40410011,0,0,0,0,26.83,221712.86
BD40410047,0,0,0,0,35.59,714426.29
BD40410023,0,0,0,0,47.13,286678.81
BD40410038,0,0,0,0,32.69,235384.11
BD40410061,0,0,0,0,37.41,401329.29
BD40410090,0,0,0,0,49.18,314204.03
BD40440014,0,2,0,1304,17.63,148.1
BD40440019,2,2,1304,1304,5.15,338.07
BD40440033,0,2,0,1304,13.72,206.57
BD40440042,0,2,0,1304,12.71,100.9
BD40440071,0,0,0,0,32.23,290796.6
BD40440080,0,2,0,1304,23.28,269.09
BD40470012,0,3,0,2273,16.96,56.13
BD40470017,0,0,0,0,28.68,130483.21
BD40470040,1,1,964,964,6.58,190.26
BD40470030,0,1,0,964,16.8,257.76
BD40470053,0,0,0,0,36.31,168604.8
BD40470064,0,2,0,1043,22.73,209.26
BD40470069,0,1,0,964,13.7,84.63
